locx,locy,state
0.023,4.711447,0
12.963,1.487472,0
5.405,7.200537,0
5.106,19.705802,2
6.378,18.684652,0
3.572,17.151402,0
0.697,0.171514,0
12.535,9.717704,0
5.460,16.043580,1
1.829,8.960234,0
12.803,19.465316,0
13.218,15.812250,1
11.266,0.807520,1
17.628,1.367229,0
5.936,19.701529,1
1.493,0.360118,0
0.513,11.344951,1
10.320,12.962432,0
14.411,7.701041,0
7.603,0.529191,1
18.026,4.198126,2
17.226,10.917692,0
19.286,12.563860,1
7.454,18.989227,0
4.625,10.416578,1
4.657,17.947325,1
7.495,8.243049,0
14.886,7.110202,1
7.525,4.380016,1
1.423,11.758171,0
13.498,8.628193,0
16.436,0.672628,1
13.216,5.129551,1
14.855,17.002472,1
3.417,15.120090,2
8.604,8.064821,0
2.858,10.195013,1
9.314,9.730522,2
1.677,16.708884,0
17.622,10.989105,1
10.177,1.923887,1
7.214,14.346141,0
0.146,2.555010,0
1.711,17.662282,1
1.845,6.308176,1
12.533,13.057649,1
9.778,7.064425,1
15.859,8.521378,0
0.381,4.312265,0
16.827,7.831050,1
14.751,7.468490,0
19.073,14.426710,0
9.533,15.702994,0
7.752,14.846034,1
9.108,13.900571,0
4.157,7.362285,1
2.176,15.375835,1
0.073,11.442610,1
15.900,11.975463,0
9.970,3.642689,1
10.696,2.183294,0
9.184,15.583361,0
8.825,17.866756,1
16.193,19.613636,0
19.886,0.265511,1
7.121,17.798395,1
16.366,5.885189,0
0.596,19.853511,1
2.333,12.875149,1
1.079,5.642262,0
8.438,8.558000,0
18.804,17.881405,1
16.313,8.705710,0
14.429,0.648213,0
5.522,9.204382,1
6.560,9.355754,1
6.173,0.722068,0
10.229,7.777947,1
10.310,7.015595,0
4.493,17.781915,1
5.232,17.487716,1
17.245,17.377239,0
1.843,14.633015,0
5.384,12.709128,0
1.166,6.989959,1
18.462,19.627064,1
12.153,8.224738,1
3.928,0.438856,0
3.899,12.973418,0
2.104,11.499374,0
5.404,10.066836,1
9.006,7.227393,2
15.994,3.764153,1
15.147,16.208991,0
19.532,3.617664,0
18.442,14.985199,1
5.544,13.598437,1
19.333,15.165258,1
10.385,1.098056,0
16.276,9.483322,1
1.563,16.450697,2
9.690,12.427137,0
18.364,3.570666,0
12.526,1.057772,0
11.875,12.364269,1
15.545,11.656240,0
17.563,13.514206,2
5.457,17.808771,1
3.505,6.275216,0
4.038,5.567797,1
7.414,19.905393,0
6.342,11.305887,1
5.574,19.345683,0
6.143,17.887509,1
6.821,15.795770,0
6.731,14.791101,1
14.681,12.785424,0
5.177,17.799615,1
10.804,8.388928,0
8.213,13.882870,1
2.802,4.186529,0
7.821,6.905118,0
9.640,1.619922,0
14.689,9.776910,0
7.677,16.347545,0
17.632,18.673666,1
10.503,11.233863,1
7.127,14.952239,0
5.697,18.602252,1
11.060,10.391552,0
1.605,12.361217,0
0.837,1.370281,0
7.304,0.647603,2
15.965,7.622913,0
18.835,19.598987,0
5.234,1.184118,1
14.871,18.876308,0
12.630,1.157872,0
14.902,19.586169,1
6.099,19.934690,0
3.101,15.195776,0
17.280,16.467177,0
10.973,16.085696,2
10.351,2.257149,1
1.914,8.363903,0
8.092,15.651723,0
10.818,7.558214,1
13.308,10.086978,1
1.837,17.816706,0
13.718,11.903439,1
17.443,17.243568,0
8.456,13.357341,1
1.893,19.992065,0
4.294,16.450697,1
12.240,15.736564,0
19.714,13.206580,0
0.001,17.160558,2
4.960,18.016297,1
16.622,16.066774,0
16.194,17.679373,1
5.852,18.754234,0
11.874,14.766686,0
16.161,1.274453,0
9.478,9.928892,0
16.313,15.194555,0
10.725,18.770104,1
7.237,4.492935,0
13.373,8.923002,1
13.310,4.217658,1
17.757,12.944121,0
6.172,1.521653,0
6.181,2.645955,1
4.219,9.707938,1
3.274,0.512711,1
0.870,15.908078,0
15.464,13.800470,0
4.761,13.019196,1
17.662,6.959441,1
4.965,16.523331,0
5.311,18.010804,0
4.390,16.809595,0
19.904,14.477371,0
14.454,7.640614,0
6.102,14.527421,1
14.181,1.364788,1
8.592,8.924223,1
6.838,11.517685,1
6.776,9.429609,0
17.226,13.429365,0
15.451,19.276101,0
2.769,3.466292,0
9.590,11.329081,2
1.518,7.531358,1
1.342,9.579760,0
10.185,19.440901,1
7.393,19.571520,0
15.350,19.816279,1
14.792,3.405255,1
10.952,16.105838,0
3.388,4.939116,0
5.198,14.366894,1
12.995,0.802026,0
10.005,3.422956,1
13.398,2.858974,0
16.116,2.039247,1
5.341,7.746208,0
6.989,9.724418,0
10.627,19.099094,0
14.623,11.788079,0
19.424,18.099918,0
10.398,19.290750,0
12.936,7.975707,0
14.100,14.491409,1
9.555,8.059938,1
14.219,2.431715,1
12.599,3.055513,0
2.672,19.283425,1
7.788,3.114109,0
17.066,18.064516,1
8.571,0.360729,1
13.608,2.380444,1
17.425,17.492599,0
3.829,8.786279,1
1.257,14.067202,2
18.202,8.410291,1
9.038,6.118961,0
9.810,8.460341,0
9.777,4.712668,1
1.171,4.239021,0
18.984,9.070101,1
7.362,2.288278,0
11.726,19.897458,0
18.544,5.298624,1
10.415,8.521989,0
15.035,19.391461,0
5.445,7.486801,0
18.049,14.417554,1
16.803,18.205512,0
9.211,17.885678,0
14.787,1.317179,1
2.006,13.146764,0
7.946,5.361492,2
18.248,2.462844,0
16.378,19.396954,0
12.723,5.587329,0
18.493,5.191198,0
19.120,14.469436,2
9.388,14.607990,0
0.375,14.723350,2
18.950,7.810907,1
16.556,14.479202,1
7.794,17.913755,0
13.406,11.241188,1
9.203,17.703787,0
4.683,17.377850,1
15.144,14.057436,0
11.412,14.868007,0
14.531,5.674612,0
11.168,19.936522,0
1.825,9.767144,0
0.535,8.190558,0
4.121,13.302408,0
3.850,0.892361,0
4.830,14.459670,0
11.355,2.990204,0
12.087,9.892270,0
19.894,13.528245,1
10.018,13.443403,0
