Population with N=1000 and n=0.011
Count,State,LocactionX,LocationY
0,0,2.4142,3.1460
1,0,2.6515,2.3969
2,0,1.8636,2.8412
3,0,1.9249,3.9228
4,0,4.2390,1.6867
5,0,3.4827,2.3265
6,0,2.4987,4.0716
7,0,0.3125,0.3833
8,0,0.0889,3.6626
9,0,3.4230,3.8271
10,0,4.3048,3.5154
11,0,2.0300,3.4334
12,0,0.5203,2.8149
13,0,0.6306,4.1555
14,0,2.2955,1.8240
15,0,1.1637,3.4057
16,0,2.0065,2.5005
17,0,0.0827,2.7169
18,0,2.6925,2.7138
19,0,4.1514,2.9992
20,0,1.5814,1.9224
21,0,3.0688,0.2649
22,0,2.9330,2.9500
23,0,0.9254,0.5671
24,0,1.3875,1.5999
25,0,2.5082,1.9293
26,0,4.3477,0.4489
27,0,0.9188,0.7096
28,0,2.8729,1.1142
29,0,2.0512,1.0752
30,0,0.6993,0.4855
31,0,2.8871,0.6078
32,1,0.8647,1.6220
33,0,3.6114,0.4271
34,0,3.6860,0.4227
35,0,4.2953,2.0615
36,0,4.2966,2.6606
37,0,3.2519,0.1724
38,0,1.2440,0.5287
39,0,1.3027,0.5223
40,0,1.3988,1.8223
41,0,0.2822,3.0461
42,0,2.4924,1.1674
43,0,2.3017,0.4132
44,0,2.5335,4.0878
45,0,1.4013,2.9358
46,0,0.5798,3.1510
47,0,1.2731,0.8058
48,0,2.5800,0.0885
49,0,3.6464,0.0207
50,0,2.9816,1.1877
51,0,3.2340,4.2325
52,0,1.0942,2.5344
53,0,2.6043,2.5173
54,0,0.9813,4.1910
55,1,1.9668,3.7232
56,0,3.0769,1.3084
57,0,3.5798,1.7442
58,0,3.8758,2.5569
59,0,3.8786,3.0463
60,0,3.1903,2.2053
61,0,4.2057,2.8328
62,0,1.8645,2.6674
63,0,0.0844,1.3266
64,0,2.9040,1.2760
65,0,2.7186,1.8861
66,0,0.5959,1.3121
67,0,2.5072,2.5992
68,0,2.5264,2.8733
69,0,2.8685,1.8977
70,0,3.9438,1.6169
71,0,1.9173,3.9234
72,0,3.5463,3.0963
73,0,0.4409,4.0447
74,0,3.1418,4.3938
75,0,0.6574,3.8188
76,0,0.7148,2.7078
77,0,0.5447,3.7303
78,0,3.5513,2.5034
79,0,1.7911,0.3043
80,0,3.0679,1.9951
81,0,3.1762,3.8111
82,0,4.2912,3.7646
83,0,0.0515,1.5835
84,0,3.2111,0.7550
85,0,2.2920,0.2390
86,0,0.8798,0.0815
87,0,3.4914,0.9850
88,0,1.5192,4.0825
89,0,3.0986,0.1401
90,0,0.7245,2.7338
91,0,2.5391,1.0465
92,0,4.1095,2.7007
93,0,2.3562,2.5949
94,0,3.2117,1.3722
95,0,1.7517,0.9231
96,0,0.8190,4.1542
97,0,3.2532,2.1575
98,0,1.0004,1.1189
99,0,0.2553,1.9109
100,0,1.3715,3.0631
101,0,1.6617,0.7901
102,0,0.1086,0.2958
103,0,2.9886,1.9957
104,0,2.3603,3.9443
105,0,4.3564,0.9541
106,0,2.9168,1.1583
107,0,0.0908,3.3360
108,0,1.4077,1.6868
109,0,2.5879,3.6557
110,0,2.7668,3.8387
111,0,1.2033,3.5105
112,0,0.8166,4.1912
113,0,3.0242,0.9480
114,0,4.1673,3.2149
115,0,1.1171,0.9383
116,0,2.2795,0.1129
117,0,0.9126,1.8681
118,0,1.6459,2.0392
119,0,1.2212,2.5812
120,0,3.8000,0.5170
121,0,2.2759,0.5809
122,0,3.1534,1.7422
123,0,2.4872,0.8062
124,0,0.6372,2.1469
125,0,1.5643,4.1368
126,0,3.3666,3.2933
127,0,3.9753,0.3670
128,0,2.4290,2.5710
129,0,4.2314,1.2851
130,0,1.0594,0.4412
131,0,0.0723,4.0889
132,0,2.9469,3.4538
133,0,1.2393,2.5795
134,0,0.2813,2.1362
135,0,4.2999,3.8556
136,0,1.4875,4.2298
137,0,1.0192,4.1759
138,0,4.1410,3.5156
139,0,2.7733,3.8459
140,0,1.2890,3.7344
141,0,2.7180,0.0582
142,0,1.5274,0.6517
143,0,4.3189,2.1043
144,0,2.1880,2.8129
145,0,1.6214,0.6022
146,0,3.6164,0.8351
147,0,2.2492,0.9867
148,0,0.4304,3.7927
149,0,4.2797,4.2266
150,0,3.9878,3.4049
151,0,1.4655,0.3568
152,0,1.7914,1.0216
153,0,0.5828,0.2350
154,1,3.1918,0.0503
155,0,3.3897,0.6464
156,0,0.3498,0.3942
157,0,2.9562,1.0793
158,0,1.8499,2.4518
159,0,3.7854,3.1982
160,0,1.1891,0.5784
161,0,0.2436,1.3267
162,0,1.1530,2.0065
163,0,3.0057,3.0600
164,0,1.2472,1.6712
165,0,0.7969,3.4687
166,0,0.2501,3.0660
167,0,3.4254,3.4197
168,0,1.1412,1.6444
169,0,2.5848,1.2001
170,0,1.6313,0.8668
171,0,2.0228,0.1962
172,0,3.5182,0.3385
173,0,2.2823,1.3496
174,0,2.5405,4.2204
175,0,2.8398,0.1556
176,0,1.8933,2.2435
177,0,2.3586,2.9973
178,0,1.2211,0.5668
179,0,1.7273,4.2071
180,0,0.8232,3.9765
181,0,2.3921,2.0099
182,0,3.8800,2.0173
183,0,3.1855,1.7553
184,0,3.9768,3.0353
185,0,3.0775,1.4416
186,0,3.3290,2.7979
187,0,1.0558,0.7062
188,0,3.5032,4.2192
189,0,2.0153,2.5997
190,0,3.7730,2.0113
191,0,4.1872,2.5326
192,0,3.6104,3.9979
193,0,3.5874,0.7012
194,0,2.7664,1.7527
195,0,0.2759,1.8653
196,0,1.1379,3.7348
197,0,0.1465,4.2184
198,0,1.5632,1.5691
199,0,0.0718,0.8148
200,0,1.7651,4.0878
201,0,0.4382,4.1582
202,0,3.8248,1.9978
203,0,1.4371,1.0238
204,0,2.7029,0.1455
205,0,0.0686,1.8862
206,0,0.2994,1.1083
207,0,0.9729,1.1138
208,0,0.5765,0.0529
209,0,0.5080,2.7206
210,0,4.2856,4.3564
211,0,1.7994,0.7168
212,0,2.8098,2.1568
213,0,4.3523,0.2873
214,0,3.4453,1.2686
215,0,1.0620,2.9143
216,0,1.0824,2.9290
217,0,2.2756,1.8655
218,0,2.4400,1.2627
219,0,3.1081,1.8249
220,0,1.5860,3.6451
221,0,4.0688,0.2024
222,0,1.0233,1.5331
223,0,3.5849,4.3350
224,0,4.2624,3.9807
225,0,1.3045,4.3637
226,0,1.0972,0.4659
227,0,4.1831,1.0268
228,0,3.0342,0.2567
229,0,3.2143,3.8786
230,0,1.1984,1.6674
231,0,1.6465,3.2938
232,0,1.0461,0.7560
233,0,1.9764,1.3393
234,0,3.6915,1.0458
235,0,2.2099,4.1463
236,0,2.7889,3.8151
237,0,4.1359,3.3025
238,0,3.0773,4.2579
239,0,4.3742,1.9875
240,0,0.3117,1.2880
241,0,0.6702,1.8365
242,0,0.5775,2.6574
243,1,1.6839,3.9387
244,0,4.2572,2.4057
245,0,1.2089,2.6051
246,0,3.9447,1.7892
247,0,2.4285,1.1950
248,0,2.0034,1.7671
249,0,1.0927,2.2252
250,0,1.3653,1.6409
251,0,2.3093,3.3018
252,0,1.4671,4.0652
253,0,3.7932,0.2142
254,0,1.1157,1.9625
255,0,0.4602,1.5329
256,0,3.2556,2.9935
257,0,2.7378,3.1255
258,0,0.9014,1.5031
259,0,2.9747,3.8676
260,0,2.3916,1.2436
261,0,0.1330,3.1247
262,0,0.0347,1.6394
263,0,2.3338,4.0562
264,0,0.3937,1.7857
265,0,0.1070,1.5071
266,0,2.7371,1.2276
267,0,0.9227,0.5090
268,0,2.5388,3.0584
269,0,2.9558,4.1739
270,0,0.0119,2.8469
271,0,2.6410,2.5898
272,0,4.2351,0.0742
273,0,3.0637,3.5793
274,0,2.2426,1.4691
275,0,3.4788,0.4278
276,0,1.9445,2.2872
277,0,3.0526,0.3998
278,0,1.0019,1.8049
279,0,2.7418,3.9016
280,0,2.7221,0.5871
281,0,4.3134,3.8349
282,0,2.2114,4.0573
283,0,2.3815,4.0615
284,0,3.6506,4.2594
285,0,4.0460,0.1585
286,0,0.7688,1.7117
287,0,4.1883,1.3198
288,0,0.7059,3.8987
289,0,1.9636,3.9936
290,0,0.7048,2.9082
291,0,1.9367,0.3365
292,0,3.0636,1.0883
293,0,0.1743,0.2637
294,0,0.2687,3.9930
295,0,3.2546,3.9504
296,0,2.9586,2.3267
297,0,1.3392,4.3899
298,0,1.5932,2.0703
299,0,1.6638,4.3088
300,0,0.7683,1.4428
301,0,2.9928,0.2780
302,0,2.6712,2.1011
303,0,1.2493,1.0487
304,0,2.2633,1.6185
305,0,2.0082,1.4845
306,0,4.2691,0.5870
307,0,0.4258,1.5105
308,0,2.5998,2.8996
309,0,1.7475,4.3957
310,0,1.5479,3.1734
311,0,2.8046,3.5765
312,0,4.2943,3.9141
313,0,3.3632,3.0715
314,0,1.4758,0.6496
315,0,0.2755,1.0641
316,0,1.9015,2.2962
317,0,3.4007,4.2174
318,0,0.5161,0.4707
319,0,2.5940,3.2789
320,0,3.7309,4.1166
321,0,4.3260,1.7587
322,0,1.6730,0.6502
323,0,3.0129,2.8890
324,0,3.7921,0.4278
325,0,2.1897,2.5561
326,0,1.0626,0.7435
327,0,3.7812,0.2575
328,0,2.0702,0.5095
329,0,2.0105,4.3107
330,0,1.8638,3.7704
331,0,0.5161,1.1932
332,0,1.7762,1.7587
333,0,2.9533,1.5164
334,0,3.1398,2.8117
335,0,1.7559,1.8993
336,0,2.7032,0.3081
337,0,3.6177,2.8743
338,0,3.1951,2.3618
339,0,0.4860,1.7817
340,0,1.7832,1.4122
341,0,0.1317,3.2431
342,0,0.4829,2.6671
343,0,3.0934,2.7923
344,0,4.2191,0.4544
345,0,3.8145,0.1284
346,0,2.3530,1.7782
347,0,2.3058,1.6060
348,0,0.8383,0.0841
349,1,2.2793,3.7073
350,0,1.6417,0.9803
351,0,0.3542,0.3753
352,0,0.9739,0.4399
353,0,1.1659,0.2910
354,0,0.2886,3.7666
355,0,0.7131,2.4620
356,0,3.4023,2.0077
357,0,0.6746,0.8780
358,0,1.9046,2.3236
359,0,1.5371,3.4376
360,0,3.3036,4.0787
361,0,0.1274,3.9400
362,0,1.7269,3.8638
363,0,3.0387,4.3432
364,0,3.3400,1.6036
365,0,2.2041,1.6557
366,0,1.6052,1.1477
367,0,2.1817,2.9989
368,0,1.2200,2.3067
369,0,0.5163,0.7031
370,0,0.2059,4.2701
371,0,0.0170,0.7855
372,0,2.6959,0.3579
373,0,3.8793,3.1655
374,0,4.2510,2.2330
375,0,1.3214,2.4172
376,0,4.0945,2.2908
377,0,1.1754,3.8596
378,0,1.6360,0.0061
379,0,1.0895,1.3999
380,0,3.7776,2.0169
381,0,1.9557,1.4785
382,0,3.8740,4.1570
383,0,4.3632,1.6572
384,0,4.2499,3.4834
385,0,2.9723,1.0772
386,0,0.9522,0.7304
387,0,4.0591,1.2936
388,0,1.9931,2.1729
389,0,3.4231,3.7137
390,0,0.6118,1.8779
391,0,3.7076,3.5984
392,0,0.4505,0.6879
393,0,1.3381,0.3315
394,0,1.8680,0.4734
395,0,2.4995,1.0846
396,0,2.6236,0.5170
397,0,4.2928,4.1022
398,0,1.7235,1.0653
399,0,1.1015,2.1264
400,0,0.1759,2.8140
401,0,1.7961,1.6602
402,0,3.5603,3.1189
403,0,4.1980,1.5481
404,0,3.9482,3.3870
405,0,1.5723,2.7346
406,0,1.2694,3.8464
407,0,0.4946,0.9345
408,0,0.8051,1.7729
409,0,3.2782,2.3178
410,0,2.1452,0.0024
411,0,1.8713,0.2796
412,0,0.9161,4.1015
413,0,0.9475,3.7757
414,0,3.5318,0.7001
415,0,2.6644,0.5088
416,0,3.2019,2.8041
417,0,3.5716,2.1087
418,0,4.0244,0.2171
419,0,1.2884,3.1454
420,0,1.8392,0.7608
421,0,0.4716,3.5954
422,0,2.0813,3.8810
423,0,3.2256,1.8023
424,0,1.6430,2.2682
425,0,3.9108,3.2432
426,0,0.0227,3.0535
427,0,4.0448,3.1252
428,1,0.7786,2.1269
429,0,0.6172,1.5792
430,0,4.1222,4.0615
431,0,1.2442,1.4940
432,0,2.6403,4.2370
433,0,0.6502,1.1301
434,0,3.8427,2.1638
435,0,3.9544,0.8161
436,0,2.3431,1.4352
437,0,1.3924,1.9657
438,0,1.9050,1.5719
439,0,4.0248,3.2188
440,0,3.2004,1.2753
441,0,2.5413,3.4275
442,0,3.4997,1.5155
443,0,3.3910,3.2371
444,0,0.6225,3.8092
445,0,1.9413,2.1397
446,0,1.9723,2.4979
447,0,2.7324,2.1914
448,0,3.8129,2.7613
449,0,1.7658,1.8330
450,0,3.5668,1.5316
