Real inital desity n_i = 0.0001
update # 1	 n=0.0007
update # 2	 n=0.0022
update # 3	 n=0.0046
update # 4	 n=0.0082
update # 5	 n=0.0129
update # 6	 n=0.0187
update # 7	 n=0.0256
update # 8	 n=0.0333
update # 9	 n=0.0423
update # 10	 n=0.0521
update # 11	 n=0.0631
update # 12	 n=0.0748
update # 13	 n=0.0871
update # 14	 n=0.1004
update # 15	 n=0.1140
update # 16	 n=0.1280
update # 17	 n=0.1426
update # 18	 n=0.1577
update # 19	 n=0.1732
update # 20	 n=0.1890
update # 21	 n=0.2051
update # 22	 n=0.2214
update # 23	 n=0.2379
update # 24	 n=0.2543
update # 25	 n=0.2707
update # 26	 n=0.2872
update # 27	 n=0.3037
update # 28	 n=0.3202
update # 29	 n=0.3366
update # 30	 n=0.3529
update # 31	 n=0.3691
update # 32	 n=0.3852
update # 33	 n=0.4010
update # 34	 n=0.4166
update # 35	 n=0.4319
update # 36	 n=0.4470
update # 37	 n=0.4621
update # 38	 n=0.4767
update # 39	 n=0.4912
update # 40	 n=0.5052
update # 41	 n=0.5192
update # 42	 n=0.5330
update # 43	 n=0.5462
update # 44	 n=0.5591
update # 45	 n=0.5717
update # 46	 n=0.5839
update # 47	 n=0.5962
update # 48	 n=0.6081
update # 49	 n=0.6194
update # 50	 n=0.6306
Real final density n = 0.6306

