Real inital desity n_i = 0.0001
update # 1	 n=0.0002
update # 2	 n=0.0004
update # 3	 n=0.0006
update # 4	 n=0.0009
update # 5	 n=0.0013
update # 6	 n=0.0018
update # 7	 n=0.0024
update # 8	 n=0.0031
update # 9	 n=0.0040
update # 10	 n=0.0051
update # 11	 n=0.0064
update # 12	 n=0.0080
update # 13	 n=0.0098
update # 14	 n=0.0119
update # 15	 n=0.0143
update # 16	 n=0.0170
update # 17	 n=0.0202
update # 18	 n=0.0237
update # 19	 n=0.0275
update # 20	 n=0.0317
update # 21	 n=0.0365
update # 22	 n=0.0418
update # 23	 n=0.0473
update # 24	 n=0.0535
update # 25	 n=0.0602
update # 26	 n=0.0673
update # 27	 n=0.0752
update # 28	 n=0.0834
update # 29	 n=0.0923
update # 30	 n=0.1017
update # 31	 n=0.1118
update # 32	 n=0.1227
Real final density n = 0.1227

