Real inital desity n_i = 0.0001
update # 1	 n=0.0002
update # 2	 n=0.0005
update # 3	 n=0.0009
update # 4	 n=0.0014
update # 5	 n=0.0021
update # 6	 n=0.0030
update # 7	 n=0.0043
update # 8	 n=0.0057
update # 9	 n=0.0076
update # 10	 n=0.0097
update # 11	 n=0.0124
update # 12	 n=0.0154
update # 13	 n=0.0189
update # 14	 n=0.0230
update # 15	 n=0.0277
update # 16	 n=0.0331
update # 17	 n=0.0390
update # 18	 n=0.0456
update # 19	 n=0.0528
update # 20	 n=0.0607
update # 21	 n=0.0693
update # 22	 n=0.0785
update # 23	 n=0.0884
update # 24	 n=0.0988
update # 25	 n=0.1102
update # 26	 n=0.1221
update # 27	 n=0.1348
update # 28	 n=0.1483
update # 29	 n=0.1622
update # 30	 n=0.1769
update # 31	 n=0.1922
update # 32	 n=0.2083
Real final density n = 0.2083

