Real inital desity n_i = 0.0001
update # 1	 n=0.0451
update # 2	 n=0.0879
update # 3	 n=0.1290
update # 4	 n=0.1684
update # 5	 n=0.2057
update # 6	 n=0.2414
update # 7	 n=0.2755
update # 8	 n=0.3083
update # 9	 n=0.3396
update # 10	 n=0.3694
update # 11	 n=0.3981
update # 12	 n=0.4250
update # 13	 n=0.4509
update # 14	 n=0.4757
update # 15	 n=0.4996
update # 16	 n=0.5222
update # 17	 n=0.5437
update # 18	 n=0.5644
update # 19	 n=0.5842
update # 20	 n=0.6028
update # 21	 n=0.6208
update # 22	 n=0.6377
update # 23	 n=0.6540
update # 24	 n=0.6696
update # 25	 n=0.6844
update # 26	 n=0.6988
update # 27	 n=0.7123
update # 28	 n=0.7252
update # 29	 n=0.7376
update # 30	 n=0.7495
update # 31	 n=0.7609
update # 32	 n=0.7715
update # 33	 n=0.7816
update # 34	 n=0.7913
update # 35	 n=0.8007
update # 36	 n=0.8097
update # 37	 n=0.8185
update # 38	 n=0.8266
update # 39	 n=0.8344
update # 40	 n=0.8419
update # 41	 n=0.8490
update # 42	 n=0.8558
update # 43	 n=0.8624
update # 44	 n=0.8688
update # 45	 n=0.8748
update # 46	 n=0.8804
update # 47	 n=0.8857
update # 48	 n=0.8906
update # 49	 n=0.8957
update # 50	 n=0.9004
Real final density n = 0.9004

