Real inital desity n_i = 0.0001
update # 1	 n=0.0005
update # 2	 n=0.0011
update # 3	 n=0.0018
update # 4	 n=0.0030
update # 5	 n=0.0044
update # 6	 n=0.0061
update # 7	 n=0.0078
update # 8	 n=0.0102
update # 9	 n=0.0129
update # 10	 n=0.0158
update # 11	 n=0.0190
update # 12	 n=0.0223
update # 13	 n=0.0259
update # 14	 n=0.0299
update # 15	 n=0.0339
update # 16	 n=0.0387
update # 17	 n=0.0437
update # 18	 n=0.0489
update # 19	 n=0.0542
update # 20	 n=0.0597
update # 21	 n=0.0654
update # 22	 n=0.0712
update # 23	 n=0.0766
update # 24	 n=0.0828
update # 25	 n=0.0889
update # 26	 n=0.0954
update # 27	 n=0.1022
update # 28	 n=0.1089
update # 29	 n=0.1157
update # 30	 n=0.1230
update # 31	 n=0.1299
update # 32	 n=0.1369
Real final density n = 0.1369

