Real inital desity n_i = 0.0001
update # 1	 n=0.0003
update # 2	 n=0.0008
update # 3	 n=0.0016
update # 4	 n=0.0028
update # 5	 n=0.0044
update # 6	 n=0.0065
update # 7	 n=0.0095
update # 8	 n=0.0127
update # 9	 n=0.0173
update # 10	 n=0.0237
update # 11	 n=0.0315
update # 12	 n=0.0405
update # 13	 n=0.0508
update # 14	 n=0.0632
update # 15	 n=0.0769
update # 16	 n=0.0924
update # 17	 n=0.1099
update # 18	 n=0.1292
update # 19	 n=0.1499
update # 20	 n=0.1730
update # 21	 n=0.1976
update # 22	 n=0.2240
update # 23	 n=0.2517
update # 24	 n=0.2793
update # 25	 n=0.3090
update # 26	 n=0.3397
update # 27	 n=0.3707
update # 28	 n=0.4015
update # 29	 n=0.4318
update # 30	 n=0.4620
update # 31	 n=0.4924
update # 32	 n=0.5221
update # 33	 n=0.5511
update # 34	 n=0.5786
update # 35	 n=0.6049
update # 36	 n=0.6315
update # 37	 n=0.6559
update # 38	 n=0.6787
update # 39	 n=0.7015
update # 40	 n=0.7230
update # 41	 n=0.7433
update # 42	 n=0.7626
update # 43	 n=0.7807
update # 44	 n=0.7984
update # 45	 n=0.8147
update # 46	 n=0.8302
update # 47	 n=0.8447
update # 48	 n=0.8575
update # 49	 n=0.8694
update # 50	 n=0.8798
Real final density n = 0.8798

