Real inital desity n_i = 0.0001
update # 1	 n=0.0005
update # 2	 n=0.0013
update # 3	 n=0.0031
update # 4	 n=0.0049
update # 5	 n=0.0083
update # 6	 n=0.0127
update # 7	 n=0.0190
update # 8	 n=0.0275
update # 9	 n=0.0372
update # 10	 n=0.0483
update # 11	 n=0.0581
update # 12	 n=0.0701
update # 13	 n=0.0821
update # 14	 n=0.0977
update # 15	 n=0.1133
update # 16	 n=0.1311
update # 17	 n=0.1495
update # 18	 n=0.1669
update # 19	 n=0.1871
update # 20	 n=0.2073
update # 21	 n=0.2291
update # 22	 n=0.2541
update # 23	 n=0.2787
update # 24	 n=0.3042
update # 25	 n=0.3305
update # 26	 n=0.3594
update # 27	 n=0.3902
update # 28	 n=0.4202
update # 29	 n=0.4510
update # 30	 n=0.4829
update # 31	 n=0.5137
update # 32	 n=0.5474
update # 33	 n=0.5802
update # 34	 n=0.6134
update # 35	 n=0.6472
update # 36	 n=0.6804
update # 37	 n=0.7106
update # 38	 n=0.7395
update # 39	 n=0.7672
update # 40	 n=0.7936
update # 41	 n=0.8192
update # 42	 n=0.8404
update # 43	 n=0.8593
update # 44	 n=0.8782
update # 45	 n=0.8943
update # 46	 n=0.9080
update # 47	 n=0.9195
update # 48	 n=0.9289
update # 49	 n=0.9389
update # 50	 n=0.9470
Real final density n = 0.9470

