Real inital desity n_i = 0.0000
update # 1	 n=0.000
update # 2	 n=0.000
update # 3	 n=0.000
update # 4	 n=0.000
update # 5	 n=0.000
update # 6	 n=0.001
update # 7	 n=0.001
update # 8	 n=0.001
update # 9	 n=0.002
update # 10	 n=0.003
update # 11	 n=0.004
update # 12	 n=0.005
update # 13	 n=0.005
update # 14	 n=0.007
update # 15	 n=0.008
update # 16	 n=0.009
update # 17	 n=0.011
update # 18	 n=0.012
update # 19	 n=0.014
update # 20	 n=0.016
update # 21	 n=0.018
update # 22	 n=0.020
update # 23	 n=0.022
update # 24	 n=0.025
update # 25	 n=0.027
update # 26	 n=0.031
update # 27	 n=0.035
update # 28	 n=0.038
Real final density n = 0.0379

